Code,Municipality,Population,Reference Date,Year,Annual financial statement,Debts,Public-private partnerships,Leasing,Total debts,Revenues,Expenditures
80227,Mellau,1282,31.10.2001,2006,31.12.2006,174707947,962890,0,270996947,251505109,251505109
80228,Mittelberg,4717,31.10.2001,2006,31.12.2006,1666158075,1674200,0,1833578075,2461081249,2461081249
80229,Möggers,561,31.10.2001,2006,31.12.2006,114520114,0,29199131,143719245,11507609,11507609
80230,Reuthe,586,31.10.2001,2006,31.12.2006,37691262,0,0,37691262,161226533,161226533
80231,Riefensberg,971,31.10.2001,2006,31.12.2006,53635337,0,0,53635337,234003348,234003348
80232,Schnepfau,483,31.10.2001,2006,31.12.2006,26848751,658800,0,92728751,139661777,94114161
80233,Schoppernau,905,31.10.2001,2006,31.12.2006,31840616,2920300,0,323870616,210625581,210625581
80234,Schröcken,233,31.10.2001,2006,31.12.2006,370994311,0,0,370994311,186215683,185815524
80235,Schwarzach,3372,31.10.2001,2006,31.12.2006,324096022,7430300,0,1067126022,704945391,704945391
80236,Schwarzenberg,1668,31.10.2001,2006,31.12.2006,112442708,0,4245,112867208,37814702,37814702
80237,Sibratsgfäll,422,31.10.2001,2006,31.12.2006,24890813,0,8344916,33235729,85586379,85586379
80238,Sulzberg,1722,31.10.2001,2006,31.12.2006,1879788,800000,1148689,269127489,449849248,449849248
80239,Warth,203,31.10.2001,2006,31.12.2006,352857471,0,4613327,357470798,242510409,242510409
80240,Wolfurt,7847,31.10.2001,2006,31.12.2006,250653355,0,8086567,250653355,1626702898,1626702898
80301,Dornbirn,42297,31.10.2001,2006,31.12.2006,106408870,0,960019,1158215962,181152761,181152761
80302,Hohenems,13889,31.10.2001,2006,31.12.2006,3497621729,5920000,24277565,4089621729,4864781521,4864781521
80303,Lustenau,19707,31.10.2001,2006,31.12.2006,4721772989,0,29967335,5264796379,6002781695,6000257245
80401,Altach,5703,31.10.2001,2006,31.12.2006,1326833292,0,9120280,1326833292,1819216893,1816591637
80402,Düns,385,31.10.2001,2006,31.12.2006,77098067,0,14433529,91531596,94531461,94531461
80403,Dünserberg,147,31.10.2001,2006,31.12.2006,98129239,0,26422,98155661,124474049,157105239
80404,Feldkirch,28607,31.10.2001,2006,31.12.2006,3743973416,2875000,32599510,4653173486,6558167627,6558167627
80405,Frastanz,6214,31.10.2001,2006,31.12.2006,872253956,0,6974993,1047299871,1429497036,1429497036
80406,Fraxern,674,31.10.2001,2006,31.12.2006,185454047,2124600,649334,398563381,165582929,165582929
80407,Göfis,2862,31.10.2001,2006,31.12.2006,1309504027,0,0,1309504027,1076187372,1084939321
80408,Götzis,10095,31.10.2001,2006,31.12.2006,138130932,372314994,10959128,1818078014,2203071351,2203071351
80409,Klaus,2793,31.10.2001,2006,31.12.2006,48423729,4429800,23418,92955909,669670577,669670577
80410,Koblach,3797,31.10.2001,2006,31.12.2006,283267204,437500,75879724,402896928,616294297,616294297
80411,Laterns,734,31.10.2001,2006,31.12.2006,214617782,0,28449698,24306748,214641062,214641062
80412,Mäder,3142,31.10.2001,2006,31.12.2006,50785846,0,278014006,785872466,542918738,542918738
80413,Meiningen,1872,31.10.2001,2006,31.12.2006,29146791,0,50822875,79969666,321946983,321946983
80414,Rankweil,11171,31.10.2001,2006,31.12.2006,1077003956,4236300,11476869,154818987,2315630561,2315630561
80415,Röns,289,31.10.2001,2006,31.12.2006,54076716,0,0,54076716,58402172,58402172
80416,Röthis,1997,31.10.2001,2006,31.12.2006,13836103,0,0,13836103,415444716,415444716
80417,Satteins ,2435,31.10.2001,2006,31.12.2006,119990143,0,0,119990143,403441846,403441846
80418,Schlins,2042,31.10.2001,2006,31.12.2006,399176923,0,0,399176923,496618694,496618694
80419,Schnifis,706,31.10.2001,2006,31.12.2006,68060525,0,23959023,92019548,162176426,162176426
80420,Sulz,2189,31.10.2001,2006,31.12.2006,51869182,0,297776443,816468263,531972262,532025499
80421,Übersaxen,567,31.10.2001,2006,31.12.2006,122963971,936100,6694183,223268154,173706027,173706027
80422,Viktorsberg,378,31.10.2001,2006,31.12.2006,70472751,0,25396209,9586896,104371075,104371075
80423,Weiler,1748,31.10.2001,2006,31.12.2006,145477244,912800,63392354,300149598,394144231,394144231
80424,Zwischenwasser ,3050,31.10.2001,2006,31.12.2006,367003796,15329748,49513407,569814683,616577667,616216082
80101,Bartholomäberg,2232,31.10.2001,2007,31.12.2007,336276988,0,0,336276988,425581238,425581238
80102,Blons,335,31.10.2001,2007,31.12.2007,209254163,2564300,0,465684163,150898568,150898568
80103,Bludenz  ,13699,31.10.2001,2007,31.12.2007,2174906437,5470200,1878789,272202854,369472854,369472854
80104,Bludesch,2158,31.10.2001,2007,31.12.2007,476910652,554800,0,532390652,462531552,49857383
80105,Brand,709,31.10.2001,2007,31.12.2007,410085655,0,0,410085655,498868881,498868881
80106,Bürs,3115,31.10.2001,2007,31.12.2007,618099654,1982000,119465741,935765395,777393584,777393584
80107,Bürserberg,544,31.10.2001,2007,31.12.2007,415134835,0,23130826,438265661,443923609,443923609
80108,Dalaas,1548,31.10.2001,2007,31.12.2007,60605392,714300,5154861,682638781,505199751,505199751
80109,Fontanella,473,31.10.2001,2007,31.12.2007,188463796,0,0,188463796,137782488,168138469
80110,Gaschurn,1651,31.10.2001,2007,31.12.2007,372023314,0,13436382,385459696,725117156,580917721
80111,Innerbraz,975,31.10.2001,2007,31.12.2007,206011396,493200,512562,255843958,194701722,194701722
80112,Klösterle,767,31.10.2001,2007,31.12.2007,612610947,0,0,612610947,385963464,385963464
80113,Lech,1465,31.10.2001,2007,31.12.2007,446494621,10610000,0,1507494621,1886734798,1848943964
80114,Lorüns,265,31.10.2001,2007,31.12.2007,56170845,0,18126618,74297463,124095598,124095598
80115,Ludesch,2804,31.10.2001,2007,31.12.2007,1038641163,6352800,3624829,1677545992,725736252,725736252
80116,Nenzing,5652,31.10.2001,2007,31.12.2007,1605919976,0,8363939,217430609,1690948342,1915996469
80117,Nüziders,4477,31.10.2001,2007,31.12.2007,454917654,2709600,143445023,869322677,837604353,837604353
80118,Raggal,863,31.10.2001,2007,31.12.2007,109817496,1542800,19176439,283273935,218159419,218159419
80119,St. Anton i.M.,699,31.10.2001,2007,31.12.2007,80642723,0,0,80642723,177858299,177858299
80120,St. Gallenkirch,2268,31.10.2001,2007,31.12.2007,888625534,0,27920507,916546041,742682214,929944557
80121,St. Gerold,385,31.10.2001,2007,31.12.2007,264251433,0,0,264251433,112523592,118022675
80122,Schruns,3712,31.10.2001,2007,31.12.2007,1054053351,0,4133505,1058186856,1109022279,1178858584
80123,Silbertal,873,31.10.2001,2007,31.12.2007,198060019,0,0,198060019,259095256,259095256
80124,Sonntag,723,31.10.2001,2007,31.12.2007,298041728,0,25008001,323049729,2850735,30709812
80125,Stallehr,272,31.10.2001,2007,31.12.2007,109314771,0,0,109314771,10110645,10110645
80126,Thüringen,2157,31.10.2001,2007,31.12.2007,308137263,0,0,308137263,467467407,467467407
80127,Thüringerberg,667,31.10.2001,2007,31.12.2007,58067611,0,0,58067611,141005315,141005315
80128,Tschagguns,2335,31.10.2001,2007,31.12.2007,319301509,1825800,0,501881509,466023597,465625558
80129,Vandans,2638,31.10.2001,2007,31.12.2007,504307004,1906300,0,694937004,538410045,538410045
80201,Alberschwende,3019,31.10.2001,2007,31.12.2007,420967432,6758000,361527,1132920132,660715872,661496686
80202,Andelsbuch,2285,31.10.2001,2007,31.12.2007,248394985,0,0,248394985,503691285,503691285
80203,Au,1643,31.10.2001,2007,31.12.2007,111214776,0,0,111214776,339200285,339200285
80204,Bezau,1878,31.10.2001,2007,31.12.2007,502771734,3569700,0,859741734,839518058,839518058
80205,Bildstein,731,31.10.2001,2007,31.12.2007,88935353,945800,0,183515353,225048361,274417657
80206,Bizau,960,31.10.2001,2007,31.12.2007,60350608,0,0,60350608,319387227,319387227
80207,Bregenz,26747,31.10.2001,2007,31.12.2007,3981485611,19186100,41689842,6250675696,8366214554,8366214554
80208,Buch,558,31.10.2001,2007,31.12.2007,2951653,983900,0,12790653,149601223,149601223
80209,Damüls,326,31.10.2001,2007,31.12.2007,300023577,556700,0,355693577,180025933,180025933
80210,Doren,1002,31.10.2001,2007,31.12.2007,45957101,930300,344612,173448301,214623754,214623754
80211,Egg ,3359,31.10.2001,2007,31.12.2007,319210503,759600,1647569,396818072,1511718837,1511718837
80212,Eichenberg,384,31.10.2001,2007,31.12.2007,79220733,0,0,79220733,116321425,116588384
80213,Fußach,3521,31.10.2001,2007,31.12.2007,374732023,2847700,0,659502023,791096963,791096963
80214,Gaißau,1486,31.10.2001,2007,31.12.2007,91118057,0,93391111,184509168,280119185,280119185
80215,Hard,11468,31.10.2001,2007,31.12.2007,97850708,0,13481594,1240182256,2667005884,2666625341
80216,Hittisau,1801,31.10.2001,2007,31.12.2007,102727224,0,0,102727224,513731647,513731647
80217,Höchst,7095,31.10.2001,2007,31.12.2007,2111050331,0,9762049,2201540974,1956925501,1956925501
80218,Hörbranz,6151,31.10.2001,2007,31.12.2007,157239789,0,5269325,232373354,1052514467,1052514467
80219,Hohenweiler,1247,31.10.2001,2007,31.12.2007,157818916,0,0,157818916,210661666,210661666
80220,Kennelbach,1961,31.10.2001,2007,31.12.2007,164302992,0,14963292,179266284,332858605,332858605
80221,Krumbach,933,31.10.2001,2007,31.12.2007,122752415,0,0,122752415,201046863,201046863
80222,Langen b.Breg.,1299,31.10.2001,2007,31.12.2007,18640743,0,0,18640743,322752333,322752333
80223,Langenegg,1026,31.10.2001,2007,31.12.2007,187160006,0,0,187160006,32747344,32747344
80224,Lauterach,8676,31.10.2001,2007,31.12.2007,903958134,3600400,7941658,1654317333,1616826722,1616826722
80225,Lingenau,1328,31.10.2001,2007,31.12.2007,621005372,4580600,45841931,1124907303,284468897,284468897
80226,Lochau,5241,31.10.2001,2007,31.12.2007,492250103,0,5110798,548517119,1033047284,1033047284
80227,Mellau,1282,31.10.2001,2007,31.12.2007,15209979,900000,0,24209979,339128795,339128795
80228,Mittelberg,4717,31.10.2001,2007,31.12.2007,1565775512,1572600,0,1723035512,2268414103,2268414103
80229,Möggers,561,31.10.2001,2007,31.12.2007,104891861,0,21006409,12589827,108477062,108477062
80230,Reuthe,586,31.10.2001,2007,31.12.2007,35147179,0,0,35147179,226015355,226015355
80231,Riefensberg,971,31.10.2001,2007,31.12.2007,86762331,0,0,86762331,254316737,254316737
80232,Schnepfau,483,31.10.2001,2007,31.12.2007,24747071,713100,0,96057071,8743128,69410282
80233,Schoppernau,905,31.10.2001,2007,31.12.2007,26895988,2736300,0,300525988,24025394,24025394
80234,Schröcken,233,31.10.2001,2007,31.12.2007,354839693,0,0,354839693,166001794,208698442
80235,Schwarzach,3372,31.10.2001,2007,31.12.2007,302527091,7973200,0,1099847091,650858445,650858445
80236,Schwarzenberg,1668,31.10.2001,2007,31.12.2007,9481072,0,0,9481072,458027445,458027445
80237,Sibratsgfäll,422,31.10.2001,2007,31.12.2007,1979741,0,6613367,26410777,76529186,76529186
80238,Sulzberg,1722,31.10.2001,2007,31.12.2007,194738844,718900,0,266628844,403713196,403713196
80239,Warth,203,31.10.2001,2007,31.12.2007,340564177,0,0,340564177,288078825,288078825
80240,Wolfurt,7847,31.10.2001,2007,31.12.2007,230012212,0,8306076,230012212,1658996921,1658996921
80301,Dornbirn,42297,31.10.2001,2007,31.12.2007,1075353784,0,9964414,1161082101,2015902837,2015902837
80302,Hohenems,13889,31.10.2001,2007,31.12.2007,3174833039,5680000,14839365,3761371039,2960359163,2960359163
80303,Lustenau,19707,31.10.2001,2007,31.12.2007,4915989962,0,31575874,5332726879,6327187643,6324319335
80401,Altach,5703,31.10.2001,2007,31.12.2007,127391273,0,6796388,127391273,1365111671,1359344121
80402,Düns,385,31.10.2001,2007,31.12.2007,6749608,0,11730926,79227006,88797371,88797371
80403,Dünserberg,147,31.10.2001,2007,31.12.2007,59975752,0,462838,6043859,121797281,121797281
80404,Feldkirch,28607,31.10.2001,2007,31.12.2007,3476232037,3871700,3205310,4361224916,653096325,653096325
80405,Frastanz,6214,31.10.2001,2007,31.12.2007,830478763,0,7610741,992325019,1485102665,1485102665
80406,Fraxern,674,31.10.2001,2007,31.12.2007,181479154,2124200,165941,394065095,176189742,176189742
80407,Göfis,2862,31.10.2001,2007,31.12.2007,1476483184,0,0,1476483184,871513072,871513072
80408,Götzis,10095,31.10.2001,2007,31.12.2007,1518526227,3559000,12585125,1923105337,2517294946,2517294946
80409,Klaus,2793,31.10.2001,2007,31.12.2007,534632098,4418200,1608642,97806074,655611504,655611504
80410,Koblach,3797,31.10.2001,2007,31.12.2007,243734971,412500,49309497,334294468,637436911,637436911
80411,Laterns,734,31.10.2001,2007,31.12.2007,196225286,0,25370518,221595804,203729743,203729743
80412,Mäder,3142,31.10.2001,2007,31.12.2007,44923183,0,256913051,706144881,592242845,592242845
80413,Meiningen,1872,31.10.2001,2007,31.12.2007,26577298,0,28367557,54944855,272941567,272941567
80414,Rankweil,11171,31.10.2001,2007,31.12.2007,961750779,3977100,13606359,1393803236,2742426184,2742426184
80415,Röns,289,31.10.2001,2007,31.12.2007,49606251,0,0,49606251,50484157,50484157
80416,Röthis,1997,31.10.2001,2007,31.12.2007,126241872,0,0,126241872,397743857,397743857
80417,Satteins ,2435,31.10.2001,2007,31.12.2007,101164903,0,0,101164903,40911032,40911032
80418,Schlins,2042,31.10.2001,2007,31.12.2007,479611352,0,0,479611352,550744259,550744259
80419,Schnifis,706,31.10.2001,2007,31.12.2007,63155014,0,16942759,80097773,155206654,155206654
80420,Sulz,2189,31.10.2001,2007,31.12.2007,490248078,0,278005897,768253975,46419991,46419991
80421,Übersaxen,567,31.10.2001,2007,31.12.2007,118318128,887600,4880951,211959079,163083441,163083441
80422,Viktorsberg,378,31.10.2001,2007,31.12.2007,44278195,0,18355607,62633802,105208486,105208486
80423,Weiler,1748,31.10.2001,2007,31.12.2007,135301317,849400,56017612,276258929,409472895,409472895
80424,Zwischenwasser ,3050,31.10.2001,2007,31.12.2007,38572079,1488900,334710,56808179,589648331,591389801
80101,Bartholomäberg,2232,31.10.2001,2008,31.12.2008,365829748,0,750000,440829748,488500251,488500251
80102,Blons,335,31.10.2001,2008,31.12.2008,200077491,2548200,0,454897491,115753108,115753108
80103,Bludenz  ,13699,31.10.2001,2008,31.12.2008,2002877284,6072700,265140,2612693746,36577187,36577187
80104,Bludesch,2158,31.10.2001,2008,31.12.2008,464536279,508100,6251978,521598257,576210052,586431799
80105,Brand,709,31.10.2001,2008,31.12.2008,547294597,0,0,547294597,552186925,552186925
80106,Bürs,3115,31.10.2001,2008,31.12.2008,608932529,2063300,120041178,935303707,827520607,827520607
80107,Bürserberg,544,31.10.2001,2008,31.12.2008,428936002,0,14497648,44343365,389889061,389889061
80108,Dalaas,1548,31.10.2001,2008,31.12.2008,575163758,657100,176408,642637838,59086041,59086041
80109,Fontanella,473,31.10.2001,2008,31.12.2008,288083153,0,0,288083153,304184327,327342511
80110,Gaschurn,1651,31.10.2001,2008,31.12.2008,331329443,0,352237,334851813,617196016,746227018
80111,Innerbraz,975,31.10.2001,2008,31.12.2008,76351678,484000,288454,125040132,336065288,336065288
80112,Klösterle,767,31.10.2001,2008,31.12.2008,609275362,0,0,609275362,387747525,387747525
80113,Lech,1465,31.10.2001,2008,31.12.2008,40907993,10192900,0,142836993,1836636511,1951569754
80114,Lorüns,265,31.10.2001,2008,31.12.2008,52553251,0,12010341,64563592,81475758,81475758
80115,Ludesch,2804,31.10.2001,2008,31.12.2008,1130572044,5876100,2349853,1720531897,816733043,836147348
80116,Nenzing,5652,31.10.2001,2008,31.12.2008,1853644447,0,8585419,2376343752,1741500832,1741500832
80117,Nüziders,4477,31.10.2001,2008,31.12.2008,45204873,2768600,133963501,862872231,1112798206,1112798206
80118,Raggal,863,31.10.2001,2008,31.12.2008,103323834,2058700,15402494,324596328,200852844,200852844
80119,St. Anton i.M.,699,31.10.2001,2008,31.12.2008,168449101,0,0,168449101,257283186,257283186
80120,St. Gallenkirch,2268,31.10.2001,2008,31.12.2008,867552648,0,8116355,875669003,892713064,749559992
80121,St. Gerold,385,31.10.2001,2008,31.12.2008,253864302,0,0,253864302,193313341,193313341
80122,Schruns,3712,31.10.2001,2008,31.12.2008,927715999,0,6178728,933894727,1485311959,1485306269
80123,Silbertal,873,31.10.2001,2008,31.12.2008,193057235,0,0,193057235,324371752,368514542
80124,Sonntag,723,31.10.2001,2008,31.12.2008,386489228,1240700,20375091,530934319,441194733,460109083
80125,Stallehr,272,31.10.2001,2008,31.12.2008,106503883,0,0,106503883,65022493,65022493
80126,Thüringen,2157,31.10.2001,2008,31.12.2008,294282399,0,0,294282399,455542764,455542764
80127,Thüringerberg,667,31.10.2001,2008,31.12.2008,50162959,0,0,50162959,133744131,133744131
80128,Tschagguns,2335,31.10.2001,2008,31.12.2008,330641413,2977500,0,628391413,636429515,642937246
80129,Vandans,2638,31.10.2001,2008,31.12.2008,563345557,1817700,0,745115557,699127278,740486493
80201,Alberschwende,3019,31.10.2001,2008,31.12.2008,393162767,6404600,33922479,1067545246,628640289,625386404
80202,Andelsbuch,2285,31.10.2001,2008,31.12.2008,235181131,0,0,235181131,407043288,407043288
80203,Au,1643,31.10.2001,2008,31.12.2008,100862886,1000000,0,200862886,474236042,474236042
80204,Bezau,1878,31.10.2001,2008,31.12.2008,447405014,0,0,447405014,736619694,755293726
80205,Bildstein,731,31.10.2001,2008,31.12.2008,146118541,899000,0,236018541,315589195,37756834
80206,Bizau,960,31.10.2001,2008,31.12.2008,51959923,0,0,51959923,210795822,210795822
80207,Bregenz,26747,31.10.2001,2008,31.12.2008,3817177071,19074300,448867,6034371258,85596181,85596181
80208,Buch,558,31.10.2001,2008,31.12.2008,26630563,0,0,26630563,107854153,107854153
80209,Damüls,326,31.10.2001,2008,31.12.2008,284020575,562700,0,340290575,209693311,209693311
80210,Doren,1002,31.10.2001,2008,31.12.2008,4137708,941600,308803,16641738,238285231,238285231
80211,Egg ,3359,31.10.2001,2008,31.12.2008,308346546,3873400,2293634,69798018,985599491,985599491
80212,Eichenberg,384,31.10.2001,2008,31.12.2008,76514428,0,0,76514428,80529087,82186921
80213,Fußach,3521,31.10.2001,2008,31.12.2008,426865939,2916900,0,718555939,936893876,936893876
80214,Gaißau,1486,31.10.2001,2008,31.12.2008,85580431,0,82259706,167840137,314999887,314999887
80215,Hard,11468,31.10.2001,2008,31.12.2008,890376399,0,13476486,1111912109,2734490694,2734490694
80216,Hittisau,1801,31.10.2001,2008,31.12.2008,81106414,0,0,81106414,551972585,551972585
80217,Höchst,7095,31.10.2001,2008,31.12.2008,226265545,4370000,11529854,2759612775,2332534545,2332534545
80218,Hörbranz,6151,31.10.2001,2008,31.12.2008,143600541,0,5583515,204943272,1112765811,1112765811
80219,Hohenweiler,1247,31.10.2001,2008,31.12.2008,144394971,0,0,144394971,243447113,243447113
80220,Kennelbach,1961,31.10.2001,2008,31.12.2008,155513656,0,14191237,169704893,316440186,316440186
80221,Krumbach,933,31.10.2001,2008,31.12.2008,143241821,0,0,143241821,25340738,25340738
80222,Langen b.Breg.,1299,31.10.2001,2008,31.12.2008,16309002,0,0,16309002,329264587,329264587
80223,Langenegg,1026,31.10.2001,2008,31.12.2008,227505904,0,0,227505904,408399681,408399681
80224,Lauterach,8676,31.10.2001,2008,31.12.2008,1221881529,5025800,10095030,2067004918,2004236695,2004236695
80225,Lingenau,1328,31.10.2001,2008,31.12.2008,585580279,4509000,41590881,107807116,369179558,369179558
80226,Lochau,5241,31.10.2001,2008,31.12.2008,456208432,0,4993442,502483447,995261066,995261066
80227,Mellau,1282,31.10.2001,2008,31.12.2008,135659653,825000,0,218159653,326666759,326666759
80228,Mittelberg,4717,31.10.2001,2008,31.12.2008,1522838384,1526900,0,1675528384,2408671579,2408671579
80229,Möggers,561,31.10.2001,2008,31.12.2008,118616186,0,14272295,132888481,164874705,164874705
80230,Reuthe,586,31.10.2001,2008,31.12.2008,32551201,0,0,32551201,233347808,233347808
80231,Riefensberg,971,31.10.2001,2008,31.12.2008,71317571,0,0,71317571,311014098,311014098
80232,Schnepfau,483,31.10.2001,2008,31.12.2008,22620809,662500,0,88870809,141994925,90224886
80233,Schoppernau,905,31.10.2001,2008,31.12.2008,24298266,2571300,0,281428266,219340069,219340069
80234,Schröcken,233,31.10.2001,2008,31.12.2008,334081304,0,0,334081304,195725647,234983783
80235,Schwarzach,3372,31.10.2001,2008,31.12.2008,281352773,9635600,0,1244912773,744855543,744855543
80236,Schwarzenberg,1668,31.10.2001,2008,31.12.2008,86536844,0,0,86536844,397894885,397894885
80237,Sibratsgfäll,422,31.10.2001,2008,31.12.2008,16885498,0,482772,21713218,83180364,83180364
80238,Sulzberg,1722,31.10.2001,2008,31.12.2008,172442914,1215000,0,293942914,427229749,427229749
80239,Warth,203,31.10.2001,2008,31.12.2008,318168559,0,0,318168559,277385417,277385417
80240,Wolfurt,7847,31.10.2001,2008,31.12.2008,208981953,0,10496675,208981953,2101648105,2101648105
80301,Dornbirn,42297,31.10.2001,2008,31.12.2008,1145481247,0,10483916,1224026963,2102805407,2102805407
80302,Hohenems,13889,31.10.2001,2008,31.12.2008,2983949676,6174900,14873057,3615703176,3004181904,3004181904
80303,Lustenau,19707,31.10.2001,2008,31.12.2008,5165538115,0,30596622,5546835245,6133721347,6130125972
80401,Altach,5703,31.10.2001,2008,31.12.2008,1373831574,0,7663712,1373831574,1541955364,1537104829
80402,Düns,385,31.10.2001,2008,31.12.2008,63683632,0,8954289,72637921,121468393,121468393
80403,Dünserberg,147,31.10.2001,2008,31.12.2008,5861393,0,256038,58869968,77948974,91348227
80404,Feldkirch,28607,31.10.2001,2008,31.12.2008,3487830452,3568400,35821975,4270396864,7143252749,7143252749
80405,Frastanz,6214,31.10.2001,2008,31.12.2008,767653507,0,8197775,91380578,1632682787,1632682787
80406,Fraxern,674,31.10.2001,2008,31.12.2008,158613937,2069500,0,365563937,187086371,187086371
80407,Göfis,2862,31.10.2001,2008,31.12.2008,1419652039,0,0,1419652039,77420656,77420656
